id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
1647,s,a,43780,Novi Sad,Bulevar Oslobođenja,28,,,4,3,t,,1.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5f37e6a29a309157247d226e
1648,s,a,89610,Novi Sad,Bulevar Oslobođenja,51,,,7,6,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5f37e7ec0c7cde213e7e72d2
1649,s,a,45000,Kragujevac,Gradske lokacije,58,,,13,8,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/kragujevac/oglas/centar/5f37d7bc0c7cde1877571cd7
1650,s,a,89600,Novi Sad,Grbavica,41,,2018,7,6,f,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica-novi-sad/5f37d80051a6d658c27b95e6
1651,s,a,46500,Kragujevac,Gradske lokacije,52,,2012,4,2,t,Gas,2.5,1,https://www.4zida.rs/prodaja/stanovi/kragujevac/oglas/centar/5f37db460c7cde19fc711ad8
1652,s,a,101900,Beograd,Čukarica,75,,1994,7,6,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/repiska/5f37d3b689c1b17dec2504b3
1653,s,a,67500,Beograd,Čukarica,42,,1968,,0,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vladimira-rolovica/5f37d3c444ff9b308e406153
1654,s,a,138000,Novi Sad,,104,,2001,5,4,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/aleksandra-tisme/5f37d418d20e387b8d1c92e3
1655,s,a,185000,Beograd,Novi Beograd,119,,1980,11,9,t,Centralno,5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/milutina-milankovica/5f37d428d20e387b8d1c92e8
1656,s,a,89700,Beograd,Zvezdara,35,,2020,4,0,f,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/trajka-stamenkovica/5e721d3f0c7cde4ccd5462a3
1657,s,a,90200,Beograd,Zvezdara,35,,2020,4,0,f,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/trajka-stamenkovica/5e7227a70c7cde5102749381
1658,s,a,65920,Kopaonik opština,Kopaonik grad,34,,,4,2,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/kopaonik-opstina/oglas/kopaonik-grad/5e62961b273171266e63a803
1659,s,a,74160,Novi Sad,Bulevar Oslobođenja,54,,,10,6,t,,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5f37ceae0c7cde13b35d1d18
