price,location_city,location_city_district,area_property,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms
51700.0,beograd,zemun,47.0,4.0,3.0,True,Etažno,2.0,1.0
46000.0,beograd,vozdovac,69.0,5.7492447129909365,3.0886699507389164,False,Centralno,2.0,1.0
69000.0,beograd,vozdovac,57.0,5.7492447129909365,0.0,True,Centralno,2.0,1.0
38900.0,beograd,rakovica,38.0,3.0,3.0,True,Etažno,1.5,1.0
114000.0,beograd,novi beograd,87.0,9.0,8.0,True,Centralno,3.0,1.0
180000.0,beograd,savski venac,125.0,4.0,4.0,True,Centralno,4.0,1.0
62600.0,beograd,zvezdara,54.0,4.930902111324376,0.0,True,Etažno,2.5,1.0
89820.0,beograd,zvezdara,52.0,5.0,4.0,True,Etažno,2.5,1.0
139000.0,beograd,novi beograd,47.0,9.022132796780683,4.0,True,Centralno,1.5,1.0
155000.0,beograd,palilula,51.0,4.8046875,2.0,True,Centralno,2.0,1.0
98000.0,beograd,novi beograd,58.0,6.0,2.0,True,Centralno,2.0,1.0
85000.0,beograd,novi beograd,88.0,1.0,0.0,True,Struja,3.0,2.0
126000.0,beograd,novi beograd,70.0,20.0,3.0,True,Centralno,3.0,1.0
109500.0,beograd,novi beograd,68.0,9.0,9.0,True,Centralno,2.0,1.0
120000.0,beograd,novi beograd,42.0,7.0,3.0,True,Centralno,1.0,1.0
89000.0,beograd,stari grad,43.0,2.0,2.0,True,Struja,1.0,1.0
110000.0,beograd,vozdovac,56.0,4.0,3.0,True,Etažno,2.0,1.0
170000.0,beograd,vozdovac,103.0,4.0,1.0,True,Centralno,4.0,1.0
120800.0,beograd,novi beograd,46.0,9.022132796780683,10.0,True,Centralno,2.0,1.0
122000.0,beograd,vracar,53.0,3.0,1.0,True,Centralno,2.5,1.0
139000.0,beograd,palilula,62.0,3.0,1.0,True,Etažno,2.5,1.0
187000.0,beograd,novi beograd,115.0,9.022132796780683,0.0,True,Centralno,4.0,1.0
200000.0,beograd,zvezdara,98.0,7.0,5.0,True,Centralno,4.0,2.0
25000.0,beograd,palilula,51.0,2.0,2.0,True,Etažno,2.0,1.0
32000.0,beograd,vracar,44.0,3.0,2.0,True,Norveški radijatori,2.0,1.0
75000.0,beograd,vracar,32.0,4.0,0.0,True,Centralno,1.0,1.0
79800.0,beograd,palilula,83.0,1.0,1.0,True,Norveški radijatori,3.0,1.0
299000.0,beograd,cukarica,108.0,3.0,3.0,True,Podno,4.0,2.0
84000.0,beograd,rakovica,68.0,5.0,1.0,True,Centralno,3.0,1.0
211600.0,beograd,vracar,92.0,4.0,1.0,True,Centralno,4.0,2.0
95000.0,beograd,savski venac,80.0,4.0,0.0,True,Struja,3.0,1.0
54000.0,beograd,vozdovac,64.0,4.0,2.0,True,Centralno,3.0,1.0
92500.0,beograd,vozdovac,50.0,4.0,3.0,True,Etažno,2.0,1.0
21000.0,beograd,mladenovac,26.0,5.0,3.0,True,TA peć,1.0,1.0
73000.0,beograd,vozdovac,50.0,4.0,3.0,True,Struja,2.0,1.0
60500.0,beograd,zemun,43.0,3.8565022421524664,2.1180811808118083,False,Centralno,1.5,1.0
265000.0,beograd,vracar,113.0,5.0,1.0,True,Centralno,3.0,2.0
202280.0,beograd,zvezdara,89.0,6.0,0.0,True,Centralno,3.0,2.0
102000.0,beograd,zvezdara,62.0,10.0,7.0,True,Centralno,2.0,1.0
124000.0,beograd,vozdovac,61.0,4.0,1.0,True,Centralno,2.5,1.0
110000.0,beograd,savski venac,60.0,3.0,3.0,True,Centralno,3.0,1.0
109000.0,beograd,novi beograd,69.0,9.022132796780683,0.0,True,Centralno,3.0,1.0
195000.0,beograd,vozdovac,120.0,4.0,3.0,True,Etažno,5.0,3.0
91800.0,beograd,vracar,36.0,3.0,1.0,True,Etažno,1.5,1.0
85000.0,beograd,vracar,36.0,5.0,5.0,True,Struja,1.0,1.0
97000.0,beograd,savski venac,51.0,2.0,0.0,True,Struja,2.0,1.0
115000.0,beograd,palilula,58.0,4.0,4.0,True,Centralno,2.0,1.0
105000.0,beograd,novi beograd,75.0,13.0,13.0,True,Centralno,3.5,1.0
71000.0,beograd,vozdovac,42.0,11.0,1.0,True,Centralno,1.0,1.0
145000.0,beograd,vracar,75.0,3.0,3.0,True,Etažno,4.0,1.0
350000.0,beograd,vozdovac,112.0,4.0,1.0,True,Centralno,4.0,1.0
314500.0,beograd,savski venac,170.0,4.0,4.0,True,Centralno,4.0,1.0
45500.0,beograd,zemun,35.0,3.8565022421524664,2.1180811808118083,False,Etažno,1.5,1.0
34000.0,beograd,zvezdara,28.0,4.0,0.0,True,Centralno,1.0,1.0
40000.0,beograd,vozdovac,59.0,4.0,4.0,True,Centralno,2.0,1.0
68000.0,beograd,vozdovac,52.0,5.0,4.0,True,Struja,2.0,1.0
40000.0,beograd,zvezdara,28.0,4.0,4.0,True,Centralno,1.5,1.0
70500.0,beograd,zvezdara,48.0,4.0,4.0,True,Centralno,2.0,1.0
73000.0,beograd,zvezdara,55.0,4.0,0.0,True,Centralno,2.0,1.0
170000.0,beograd,savski venac,104.0,7.0,3.0,True,Centralno,4.0,1.0
260000.0,beograd,cukarica,113.0,2.0,1.0,True,Centralno,3.5,1.0
57000.0,beograd,savski venac,49.0,3.0,-1.0,True,Centralno,2.5,1.0
275000.0,beograd,savski venac,204.0,6.0,5.0,True,Centralno,6.0,1.0
350000.0,beograd,stari grad,170.0,5.190311418685121,0.0,True,Struja,4.0,1.0
180000.0,beograd,zvezdara,233.0,4.930902111324376,3.0,True,Etažno,5.0,1.0
75000.0,beograd,zvezdara,68.0,5.0,4.0,True,Centralno,2.5,1.0
125000.0,beograd,palilula,150.0,6.0,6.0,True,Etažno,4.5,1.0
125000.0,beograd,palilula,64.0,4.8046875,0.0,True,Centralno,3.0,1.0
