id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
8074,s,h,140000.0,beograd,cukarica,61.0,3.0,1940,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/svetolika-lazarevica-laze/5f3facf7eda62d03a54751d3
8075,s,h,120000.0,beograd,palilula,111.0,5.0,1920,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/pribojska/5f3facf8eda62d03a54751d7
8076,s,h,150000.0,beograd,cukarica,133.0,4.0,1964,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/nikolaja-gogolja/5f3facf8eda62d03a54751da
8077,s,h,380000.0,beograd,vozdovac,380.0,3.0,2007,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/siva-stena/5f3facffeda62d03a54751e0
8078,s,h,92000.0,nis,gradske lokacije,150.0,2.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/medijana/5f3fadf3c073893f420c38dd
8079,s,h,81900.0,novi sad,puckaros,148.0,850.0,,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/puckaros/5eff6dbc0c7cde2b881ba457
8080,s,h,53000.0,beograd,zemun,68.0,4.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/subotica-opstina/oglas/radijalac/5f3e71d3dc04261bed649de3
8081,s,h,154500.0,novi sad,ledinci,240.0,8.04,1994,,,True,Gas,,2.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/ledinci/5f3ab61c5ffe0b7d44735993
8082,s,h,66950.0,bezanijska kosa,novi beograd,573.0,,2010,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/srbobran-opstina/oglas/srbobran-grad/5f3a830d2146257dcf4e08dd
8083,s,h,95000.0,novi banovci,stara pazova opstina,200.0,,2006,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/paracin-opstina/oglas/grza/5f3f8a030c7cde3f0348f584
8084,s,h,40000.0,beograd,zemun,110.0,,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/bela-crkva-opstina/oglas/moravska/5f3f8a4fd51aad49a86d1dd8
8086,s,h,154500.0,novi sad,podbara,90.0,,,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/podbara/5f18038a535e342bbb3c2947
8087,s,h,36050.0,novi sad,bukovac,49.0,11.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/bukovac/5f3f8d0eccf96a53e513a8b3
8088,s,h,315000.0,beograd,zvezdara,420.0,7.0,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/pirandelova/5f1960be70fff62ec7658703
8089,s,h,50000.0,beograd,barajevo,150.0,15.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/milorada-brkica-icinog/5f10243f23df1436274fecc3
8090,s,h,280000.0,beograd,novi beograd,240.0,1.9,,,,True,Centralno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/pante-tutundzica/5f0f434e932d407820319ea7
8091,s,h,40000.0,kragujevac,centar,130.0,3.5,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/kragujevac/oglas/mala-vaga/5de4f9ebe466e659470e49b7
8092,s,h,79000.0,stara pazova,stara pazova opstina,124.0,14.0,1990,,,True,,,4.0,https://www.4zida.rs/prodaja/kuce/stara-pazova-opstina/oglas/grobljanska/5f3f9aed7453026a24323d2f
